City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Rikitea,PF,-23.1203,-134.9692,76.3,73,14,6.89,few clouds,2022-05-01 19:39:02
1,Jamestown,US,42.097,-79.2353,53.71,93,100,13.8,mist,2022-05-01 19:37:02
2,Ushuaia,AR,-54.8,-68.3,44.26,70,20,20.71,few clouds,2022-05-01 19:37:09
3,Douentza,ML,14.9951,-2.9517,92.64,13,18,4.16,few clouds,2022-05-01 19:39:11
4,Port Elizabeth,ZA,-33.918,25.5701,61.09,89,0,9.22,clear sky,2022-05-01 19:39:11
5,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds,2022-05-01 19:39:12
6,Cape Town,ZA,-33.9258,18.4232,61.88,79,0,9.22,clear sky,2022-05-01 19:35:06
7,Bengkulu,ID,-3.8004,102.2655,76.53,88,100,4.41,light rain,2022-05-01 19:39:14
8,Albany,US,42.6001,-73.9662,67.93,27,100,1.01,overcast clouds,2022-05-01 19:36:17
9,Faanui,PF,-16.4833,-151.75,80.85,73,19,10.71,light rain,2022-05-01 19:39:14
10,Torbay,CA,47.6666,-52.7314,50.77,71,75,5.75,broken clouds,2022-05-01 19:39:15
11,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,82,75,2.19,broken clouds,2022-05-01 19:39:16
12,Porto Santo,PT,33.072,-16.3415,64.78,82,40,13.8,scattered clouds,2022-05-01 19:39:16
13,Toledo,ES,39.8333,-4.0,61.79,55,29,3.33,scattered clouds,2022-05-01 19:39:17
14,Verkh-Usugli,RU,52.7,115.1667,44.38,74,100,4.03,overcast clouds,2022-05-01 19:39:18
15,Kaitangata,NZ,-46.2817,169.8464,47.66,94,15,5.01,few clouds,2022-05-01 19:39:18
16,Xuddur,SO,4.1213,43.8894,73.81,80,100,7.72,overcast clouds,2022-05-01 19:39:19
17,Zeya,RU,53.75,127.2667,32.0,64,100,3.85,overcast clouds,2022-05-01 19:39:19
18,Carutapera,BR,-1.195,-46.02,79.52,87,100,6.33,overcast clouds,2022-05-01 19:39:20
19,Denpasar,ID,-8.65,115.2167,82.06,88,20,5.75,few clouds,2022-05-01 19:38:27
20,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,13.8,clear sky,2022-05-01 19:38:55
21,Airai,TL,-8.9266,125.4092,58.03,86,66,3.44,broken clouds,2022-05-01 19:39:21
22,Busselton,AU,-33.65,115.3333,57.61,85,32,0.2,scattered clouds,2022-05-01 19:38:53
23,Atuona,PF,-9.8,-139.0333,78.67,80,100,14.16,light rain,2022-05-01 19:39:01
24,Panama City,PA,8.9936,-79.5197,87.75,75,40,11.5,scattered clouds,2022-05-01 19:35:35
25,Matara,LK,5.9485,80.5353,78.26,91,90,10.33,overcast clouds,2022-05-01 19:39:22
26,Port Shepstone,ZA,-30.7414,30.455,64.2,73,3,8.32,clear sky,2022-05-01 19:39:22
27,Axim,GH,4.8699,-2.2405,81.0,82,48,8.99,scattered clouds,2022-05-01 19:39:23
28,Port Hedland,AU,-20.3167,118.5667,77.05,57,100,8.05,overcast clouds,2022-05-01 19:39:24
29,Butaritari,KI,3.0707,172.7902,81.57,77,72,12.88,broken clouds,2022-05-01 19:39:24
30,Nkhata Bay,MW,-11.6066,34.2907,69.98,73,20,6.85,few clouds,2022-05-01 19:39:25
31,Inuvik,CA,68.3499,-133.7218,45.46,51,40,9.22,scattered clouds,2022-05-01 19:39:25
32,Paita,PE,-5.0892,-81.1144,74.3,70,63,13.06,broken clouds,2022-05-01 19:39:26
33,Clyde River,CA,70.4692,-68.5914,14.23,85,100,16.11,light snow,2022-05-01 19:39:27
34,Shingu,JP,33.7333,135.9833,48.04,69,100,6.98,overcast clouds,2022-05-01 19:39:27
35,Khatanga,RU,71.9667,102.5,13.14,91,97,9.98,overcast clouds,2022-05-01 19:38:59
36,Narsaq,GL,60.9167,-46.05,48.42,69,24,3.27,few clouds,2022-05-01 19:39:28
37,Cortland,US,42.6001,-76.083,69.67,31,100,9.73,overcast clouds,2022-05-01 19:39:28
38,Mar Del Plata,AR,-38.0023,-57.5575,55.42,75,75,12.66,broken clouds,2022-05-01 19:39:29
39,Hilo,US,19.7297,-155.09,77.29,93,100,6.91,moderate rain,2022-05-01 19:39:29
40,Xinzhi,CN,36.4989,111.7047,58.33,25,3,2.73,clear sky,2022-05-01 19:39:30
41,Qaanaaq,GL,77.484,-69.3632,12.43,72,20,2.93,few clouds,2022-05-01 19:39:30
42,Joshimath,IN,30.5667,79.5667,59.63,46,5,6.67,clear sky,2022-05-01 19:39:30
43,Hambantota,LK,6.1241,81.1185,81.1,82,100,16.31,overcast clouds,2022-05-01 19:39:31
44,Yumen,CN,40.2833,97.2,47.12,17,0,3.15,clear sky,2022-05-01 19:39:31
45,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,69,8.86,broken clouds,2022-05-01 19:39:01
46,Hermanus,ZA,-34.4187,19.2345,57.79,88,4,9.95,clear sky,2022-05-01 19:38:58
47,Paamiut,GL,61.994,-49.6678,34.41,88,100,3.67,overcast clouds,2022-05-01 19:39:32
48,Mataura,NZ,-46.1927,168.8643,44.47,98,7,2.84,clear sky,2022-05-01 19:38:55
49,Vaini,TO,-21.2,-175.2,78.96,94,75,6.91,broken clouds,2022-05-01 19:38:52
