City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
2,2,Adrar,20.5022,-10.0711,83.26,10,0,7.67,MR,2022-04-30 20:24:39,
3,3,Atuona,-9.8,-139.0333,78.8,76,9,12.57,PF,2022-04-30 20:32:04,Villa Enata
4,4,Arraial Do Cabo,-22.9661,-42.0278,75.06,83,75,9.22,BR,2022-04-30 20:28:19,Pousada Porto Praia
8,8,Kapaa,22.0752,-159.319,78.78,77,75,19.57,US,2022-04-30 20:22:11,Sheraton Kauai Coconut Beach Resort
10,10,Itarema,-2.9248,-39.9167,80.33,86,11,8.21,BR,2022-04-30 20:25:46,"Sea Lounge! Bar, Club & Restaurant"
14,14,Le Port,-20.9373,55.2919,77.0,70,37,6.69,RE,2022-04-30 20:32:07,KORBEY D'OR OUEST
17,17,Rikitea,-23.1203,-134.9692,76.03,75,52,10.67,PF,2022-04-30 20:32:08,People ThankYou
21,21,Vaini,-21.2,-175.2,77.16,94,100,9.22,TO,2022-04-30 20:32:09,Keleti Beach Resort
23,23,Kununurra,-15.7667,128.7333,80.58,89,40,5.75,AU,2022-04-30 20:32:10,Hotel Kununurra
29,29,Kishi,9.0833,3.85,81.05,59,68,6.53,NG,2022-04-30 20:32:12,New NCCF KISI
36,36,Touros,-5.1989,-35.4608,80.98,71,15,15.46,BR,2022-04-30 20:28:24,INN NEW HORIZON
46,46,Road Town,18.4167,-64.6167,78.89,94,75,6.91,VG,2022-04-30 20:24:42,"ZINGARA 76ft Catamaran, full crew-all included"
48,48,Avarua,-21.2078,-159.775,82.45,78,20,10.36,CK,2022-04-30 20:33:20,Paradise Inn
51,51,Muli,2.9167,73.5667,85.3,71,90,16.91,MV,2022-04-30 20:33:21,Medhufushi Island Resort
53,53,Lompoc,34.6391,-120.4579,79.7,61,0,27.0,US,2022-04-30 20:33:18,"Holiday Inn Express Lompoc, an IHG Hotel"
58,58,Taoudenni,22.6783,-3.9836,83.57,16,0,13.02,ML,2022-04-30 20:33:23,Taoudenni
63,63,Mahebourg,-20.4081,57.7,77.29,83,40,8.05,MU,2022-04-30 20:24:38,Shandrani Beachcomber Resort & Spa
66,66,Lanja,16.85,73.55,75.13,87,0,2.8,IN,2022-04-30 20:33:25,Naivedyam Farmstay
67,67,Mangrol,21.1167,70.1167,82.24,84,0,10.71,IN,2022-04-30 20:33:26,Hotel The Royal Honours
80,80,Abnub,27.2696,31.1511,84.42,17,0,14.65,EG,2022-04-30 20:33:30,مضيفت اولاد احمد ابو حسين
82,82,Bushehr,28.9684,50.8385,77.09,65,0,0.0,IR,2022-04-30 20:33:31,Yas Hotel
83,83,Pauini,-7.7136,-66.9764,84.99,65,90,1.99,BR,2022-04-30 20:33:31,Casa do Kiwliks
84,84,Auki,-8.7676,160.7034,78.67,84,100,0.83,SB,2022-04-30 20:24:36,Auki Motel
85,85,Buala,-8.145,159.5921,80.96,78,100,1.16,SB,2022-04-30 20:33:31,Maringe Lagoon Lodge
90,90,Araouane,18.9048,-3.5265,85.28,9,0,9.48,ML,2022-04-30 20:33:33,Araouane
94,94,Suluq,31.6682,20.2521,76.3,28,100,10.71,LY,2022-04-30 20:34:34,ورشة الحضيري لاكترونات وخدمات النت
95,95,Saint George,37.1041,-113.5841,81.79,14,0,5.01,US,2022-04-30 20:30:32,Best Western Plus Abbey Inn
99,99,Puerto Ayora,-0.7393,-90.3518,80.56,79,88,8.48,EC,2022-04-30 20:30:29,Finch Bay Galapagos Hotel
108,108,Isangel,-19.55,169.2667,79.59,87,100,9.64,VU,2022-04-30 20:34:38,Tanna Lodge
110,110,Singaraja,-8.112,115.0882,80.82,83,96,7.67,ID,2022-04-30 20:34:39,Puri Bagus Lovina Resort
111,111,Dingle,10.9995,122.6711,76.75,86,100,5.93,PH,2022-04-30 20:29:41,SEGAYA PROPERTY
112,112,Bandarbeyla,9.4942,50.8122,83.88,74,81,2.93,SO,2022-04-30 20:34:40,JABIR HOTEL
117,117,Vanimo,-2.6741,141.3028,77.07,85,98,2.91,PG,2022-04-30 20:34:42,Vahmoneh Lodge Vanimo
121,121,Faanui,-16.4833,-151.75,81.21,72,8,14.97,PF,2022-04-30 20:34:42,Bora-Bora Pearl Beach Resort & Spa
126,126,Puerto Carreno,6.189,-67.4859,76.98,88,40,5.75,CO,2022-04-30 20:34:44,Casa Hotel Victoria
127,127,Acapulco,16.8634,-99.8901,87.62,62,20,11.5,MX,2022-04-30 20:24:05,HS Hotsson Smart Acapulco
